Req_No,Req_Date,ReqBy,Category,SubCategory,ProjectCode,ProjectName,ThemeticArea,FundedBy,Proposal_No,Report_No,Copyright,ProjectManager,Title,Sub_Title,Tags,Abstract_Summary,Remark,Document_Category,AuthName,Accepted,FileName,FileType,FileSize,ContentOrigin,Status,Reason
1,"17-05-2023 ",BIJENDRA,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in English for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool","Baseline Tool in english for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_english_final.doc,Document,0,Jharkhand - JH,Rejected,test
10,"17-05-2023 ",BIJENDRA,Evaluation Endline,Factsheet,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Endline Evaluation Factseet for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, Endline, factsheet","Endline Factsheet for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Endline Factsheet_Final.xlsx,Document,0,Jharkhand - JH,Rejected,mmmmmm
9,"17-05-2023 ",BIJENDRA,Evaluation Endline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Endline Evaluation tool in English for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, endline, tool","Endline English Tool for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Endline tool_English_Final.docx,Document,0,Jharkhand - JH,Approved,
1,"25-05-2023 ",Anamika,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in English for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool","Baseline Tool in english for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_english_final.doc,Document,0,Jharkhand - JH,Approved,
2,"25-05-2023 ",Anamika,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in Hindi for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool, Hindi Tool","Baseline Tool in Hindi for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_hindi_final.doc,Document,0,Jharkhand - JH,Approved,
8,"26-05-2023 ",Pratyaya,Evaluation Baseline,Infographics,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation Infographics for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, infographics","Baseline Infographics for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline_Infographics_Final.pdf,Document,0,Jharkhand - JH,Pending,
1,"29-06-2023 ",Anjali,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in English for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool","Baseline Tool in english for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_english_final.doc,Document,0,Jharkhand - JH,Approved,
2,"29-06-2023 ",Anjali,Evaluation Baseline,Tools,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation tool in Hindi for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, tool, Hindi Tool","Baseline Tool in Hindi for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline tool_hindi_final.doc,Document,0,Jharkhand - JH,Rejected,test
4,"29-06-2023 ",Anjali,Evaluation Baseline,Factsheet,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation Factsheet for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, factsheet","Baseline Factsheet for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline_Factsheet_Final.xlsx,Document,0,Jharkhand - JH,Pending,
6,"29-06-2023 ",Madhuparna,Evaluation Baseline,IRB,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation IRB for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, Baseline, IRB","Baseline IRB for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and confidential,Mercy Manoranjini,,Fossil baseline_ IRB Approval_Final.pdf,Document,0,Jharkhand - JH,Approved,
5,"29-06-2023 ",Madhuparna,Evaluation Baseline,Presentation,PF099,"Fossil - ",,Fossil Foundation,,No,No,Vandana Nair,"Baseline Evaluation Presentation for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,"Fossil, Education, Digital literacy, Neev, gender equality, adolescent girls, Agency, health, domestic violence, baseline, Presentation","Baseline Presentation for Neev: Mainstreaming Gender Equality for Adolescent 
Girls",,Critical and not confidential,Mercy Manoranjini,,Fossil Baseline_Presentation_Final.pptx,Document,0,Jharkhand - JH,Pending,
22,"29-06-2023 ",Madhuparna,Proposal Document,Concept note,PN079,APPI-OD,,Azim Premji Philanthropic Initiatives (APPI),00012,,,Rakhi Amit Jain,"Baseline of  “Engaging with boys, life skills, livelihood and gender equality project”",,"Health, adolescent, jharkhand, child marriage","Baseline of  “Engaging with boys, life skills, livelihood and gender equality project”",,Critical and not confidential,"Arun Kumar, Madan Mohan Singh Rawat",Yes,PDemo.docx,Document,0,"Patna - BR, Bhubneshwar - OD",Pending,
34,"18-09-2023 ",Superadmin,Proposal Document,Concept notes,PF074,UNILEVER,,POPULATION SERVICES INTERNATIONAL (PSI),1,,,Arun Kumar,Project Proposal – Barr Foundation,same as above,Health,"EACH: Equal Access for Change, Harnessing Opportunities’ to expand and strengthen the implementation of the Rajiv Gandhi Scheme for Empowerment of Adolescent Girls - SABLA and the Rashtriya Kishore Swasthya Karyakram (RKSK) schemes of the Government of India through a convergence model in the district of West Singhbhum in the state of Jharkhand, India.",,Critical and not confidential,Arun Kumar,Yes,Doc1.docx,Document,0.01,Rohtash - BR,Pending,
